"sno","name","symbol","date","high","low","open","close","volume","marketcap"
1935,"Dogecoin","DOGE","2019-04-03","$0.00","$0.00","$0.00","$0.00",89863286.8021211,376346599.001668
1936,"Dogecoin","DOGE","2019-04-04","$0.00","$0.00","$0.00","$0.00",164634740.849062,439749413.925701
1992,"Dogecoin","DOGE","2019-05-30","$0.00","$0.00","$0.00","$0.00",97252491.4055211,390104147.420554
2028,"Dogecoin","DOGE","2019-07-05","$0.00","$0.00","$0.00","$0.00",187924151.068634,464839135.602298
2140,"Dogecoin","DOGE","2019-10-25","$0.00","$0.00","$0.00","$0.00",98533278.4658495,326793803.715882
2141,"Dogecoin","DOGE","2019-10-26","$0.00","$0.00","$0.00","$0.00",118574429.353345,319273921.860287
2142,"Dogecoin","DOGE","2019-10-27","$0.00","$0.00","$0.00","$0.00",99551355.5376814,323238307.775632
2143,"Dogecoin","DOGE","2019-10-28","$0.00","$0.00","$0.00","$0.00",92231650.2579514,322352880.67368
2153,"Dogecoin","DOGE","2019-11-07","$0.00","$0.00","$0.00","$0.00",97141368.2276354,332378116.853195
2155,"Dogecoin","DOGE","2019-11-09","$0.00","$0.00","$0.00","$0.00",93120071.0156366,330918440.285401
2156,"Dogecoin","DOGE","2019-11-10","$0.00","$0.00","$0.00","$0.00",96734958.5537409,338534498.370242
2167,"Dogecoin","DOGE","2019-11-21","$0.00","$0.00","$0.00","$0.00",95999425.8294644,296327208.697332
2168,"Dogecoin","DOGE","2019-11-22","$0.00","$0.00","$0.00","$0.00",109619351.392331,288557851.564584
2169,"Dogecoin","DOGE","2019-11-23","$0.00","$0.00","$0.00","$0.00",112247813.666494,306003875.284027
2170,"Dogecoin","DOGE","2019-11-24","$0.00","$0.00","$0.00","$0.00",101469802.540679,289036445.546275
2171,"Dogecoin","DOGE","2019-11-25","$0.00","$0.00","$0.00","$0.00",129591062.410009,279365755.275518
2172,"Dogecoin","DOGE","2019-11-26","$0.00","$0.00","$0.00","$0.00",100273989.631235,280017041.866504
2173,"Dogecoin","DOGE","2019-11-27","$0.00","$0.00","$0.00","$0.00",100345293.823128,285878920.447868
2174,"Dogecoin","DOGE","2019-11-28","$0.00","$0.00","$0.00","$0.00",97959428.042528,282749816.475182
2175,"Dogecoin","DOGE","2019-11-29","$0.00","$0.00","$0.00","$0.00",97859845.2501035,300286976.689369
2176,"Dogecoin","DOGE","2019-11-30","$0.00","$0.00","$0.00","$0.00",89565610.7131885,283632277.834985
2194,"Dogecoin","DOGE","2019-12-18","$0.00","$0.00","$0.00","$0.00",98147108.7986645,267456561.365722
2211,"Dogecoin","DOGE","2020-01-04","$0.00","$0.00","$0.00","$0.00",94227581.6380369,275114092.669902
2218,"Dogecoin","DOGE","2020-01-11","$0.00","$0.00","$0.00","$0.00",94203408.7594624,284228140.879509
2221,"Dogecoin","DOGE","2020-01-14","$0.00","$0.00","$0.00","$0.00",128635382.73067,303552342.209688
2222,"Dogecoin","DOGE","2020-01-15","$0.00","$0.00","$0.00","$0.00",128940321.034096,291129905.063257
2223,"Dogecoin","DOGE","2020-01-16","$0.00","$0.00","$0.00","$0.00",98124199.0159423,288233512.702912
2224,"Dogecoin","DOGE","2020-01-17","$0.00","$0.00","$0.00","$0.00",117752841.322557,306098384.408112
2225,"Dogecoin","DOGE","2020-01-18","$0.00","$0.00","$0.00","$0.00",108133942.546217,308242054.726058
2226,"Dogecoin","DOGE","2020-01-19","$0.00","$0.00","$0.00","$0.00",108085146.909213,295732370.581367
2227,"Dogecoin","DOGE","2020-01-20","$0.00","$0.00","$0.00","$0.00",92022276.7692745,291955767.010132
2230,"Dogecoin","DOGE","2020-01-23","$0.00","$0.00","$0.00","$0.00",91866620.0756167,278962447.808787
2234,"Dogecoin","DOGE","2020-01-27","$0.00","$0.00","$0.00","$0.00",89023414.0232247,291399495.398829
2235,"Dogecoin","DOGE","2020-01-28","$0.00","$0.00","$0.00","$0.00",91528770.7800709,301513932.972359
2240,"Dogecoin","DOGE","2020-02-02","$0.00","$0.00","$0.00","$0.00",91552514.9975183,304011347.02579
2242,"Dogecoin","DOGE","2020-02-04","$0.00","$0.00","$0.00","$0.00",89790001.9270715,308369226.050807
2243,"Dogecoin","DOGE","2020-02-05","$0.00","$0.00","$0.00","$0.00",105741619.246949,318098839.653614
2244,"Dogecoin","DOGE","2020-02-06","$0.00","$0.00","$0.00","$0.00",108711613.860144,326893710.213855
2245,"Dogecoin","DOGE","2020-02-07","$0.00","$0.00","$0.00","$0.00",130273878.439191,341181360.982181
2246,"Dogecoin","DOGE","2020-02-08","$0.00","$0.00","$0.00","$0.00",203803814.432736,389267351.012849
2247,"Dogecoin","DOGE","2020-02-09","$0.00","$0.00","$0.00","$0.00",218861526.972173,398390042.126141
2248,"Dogecoin","DOGE","2020-02-10","$0.00","$0.00","$0.00","$0.00",195582002.591346,368116092.420674
2249,"Dogecoin","DOGE","2020-02-11","$0.00","$0.00","$0.00","$0.00",169747135.251292,374865844.517358
2250,"Dogecoin","DOGE","2020-02-12","$0.00","$0.00","$0.00","$0.00",181406959.870567,381325934.548073
2251,"Dogecoin","DOGE","2020-02-13","$0.00","$0.00","$0.00","$0.00",168543941.872091,373121830.0436
2252,"Dogecoin","DOGE","2020-02-14","$0.00","$0.00","$0.00","$0.00",140849233.404802,385983125.91904
2253,"Dogecoin","DOGE","2020-02-15","$0.00","$0.00","$0.00","$0.00",144726029.032137,360091409.996616
2254,"Dogecoin","DOGE","2020-02-16","$0.00","$0.00","$0.00","$0.00",149831932.652471,342218086.660317
2255,"Dogecoin","DOGE","2020-02-17","$0.00","$0.00","$0.00","$0.00",149622002.268655,334603231.030554
2256,"Dogecoin","DOGE","2020-02-18","$0.00","$0.00","$0.00","$0.00",144188844.173512,350309552.415687
2257,"Dogecoin","DOGE","2020-02-19","$0.00","$0.00","$0.00","$0.00",136889051.763577,323790853.9859
2258,"Dogecoin","DOGE","2020-02-20","$0.00","$0.00","$0.00","$0.00",187866681.367442,328108479.139087
2259,"Dogecoin","DOGE","2020-02-21","$0.00","$0.00","$0.00","$0.00",157652566.805765,326850964.899452
2260,"Dogecoin","DOGE","2020-02-22","$0.00","$0.00","$0.00","$0.00",156145894.777609,321103019.818438
2261,"Dogecoin","DOGE","2020-02-23","$0.00","$0.00","$0.00","$0.00",180747901.880684,330869854.506872
2262,"Dogecoin","DOGE","2020-02-24","$0.00","$0.00","$0.00","$0.00",159143743.712974,319712946.48606
2263,"Dogecoin","DOGE","2020-02-25","$0.00","$0.00","$0.00","$0.00",178541403.882041,305747426.670276
2264,"Dogecoin","DOGE","2020-02-26","$0.00","$0.00","$0.00","$0.00",201370789.486761,288866739.024308
2265,"Dogecoin","DOGE","2020-02-27","$0.00","$0.00","$0.00","$0.00",162813945.673302,286998184.928365
2266,"Dogecoin","DOGE","2020-02-28","$0.00","$0.00","$0.00","$0.00",153544452.878022,282688554.427628
2267,"Dogecoin","DOGE","2020-02-29","$0.00","$0.00","$0.00","$0.00",146635830.438949,276061991.843286
2268,"Dogecoin","DOGE","2020-03-01","$0.00","$0.00","$0.00","$0.00",162437207.011672,281031073.159536
2269,"Dogecoin","DOGE","2020-03-02","$0.00","$0.00","$0.00","$0.00",165788612.285701,290189207.4532
2270,"Dogecoin","DOGE","2020-03-03","$0.00","$0.00","$0.00","$0.00",174988478.671668,308838196.564191
2271,"Dogecoin","DOGE","2020-03-04","$0.00","$0.00","$0.00","$0.00",144601436.174355,296360513.877235
2272,"Dogecoin","DOGE","2020-03-05","$0.00","$0.00","$0.00","$0.00",104912777.123124,309716478.811719
2273,"Dogecoin","DOGE","2020-03-06","$0.00","$0.00","$0.00","$0.00",100268192.074792,308500232.532776
2275,"Dogecoin","DOGE","2020-03-08","$0.00","$0.00","$0.00","$0.00",101738284.202157,270393757.766826
2276,"Dogecoin","DOGE","2020-03-09","$0.00","$0.00","$0.00","$0.00",137033008.069339,273818706.27516
2277,"Dogecoin","DOGE","2020-03-10","$0.00","$0.00","$0.00","$0.00",115431584.056025,272882609.986803
2278,"Dogecoin","DOGE","2020-03-11","$0.00","$0.00","$0.00","$0.00",107425625.627059,270074772.379497
2279,"Dogecoin","DOGE","2020-03-12","$0.00","$0.00","$0.00","$0.00",167892774.384645,190144933.816014
2280,"Dogecoin","DOGE","2020-03-13","$0.00","$0.00","$0.00","$0.00",218676976.371259,214986092.172923
2281,"Dogecoin","DOGE","2020-03-14","$0.00","$0.00","$0.00","$0.00",113389100.802628,206091389.858682
2282,"Dogecoin","DOGE","2020-03-15","$0.00","$0.00","$0.00","$0.00",119811060.024274,208529246.530011
2283,"Dogecoin","DOGE","2020-03-16","$0.00","$0.00","$0.00","$0.00",134329667.89134,196417176.377177
2284,"Dogecoin","DOGE","2020-03-17","$0.00","$0.00","$0.00","$0.00",102697603.635329,196461667.718322
2285,"Dogecoin","DOGE","2020-03-18","$0.00","$0.00","$0.00","$0.00",102196814.279376,193785698.407974
2286,"Dogecoin","DOGE","2020-03-19","$0.00","$0.00","$0.00","$0.00",251888349.686163,219514141.337855
