"sno","name","symbol","date","high","low","open","close","volume","marketcap"
1335,"Ethereum","ETH","2019-04-03","$178.32","$157.32","$164.01","$161.46",10622456246.115,17035703563.9328
1373,"Ethereum","ETH","2019-05-11","$203.47","$173.14","$173.14","$194.30",12578331654.2638,20602050120.0543
1376,"Ethereum","ETH","2019-05-14","$217.87","$196.05","$196.74","$217.15",12751049754.8683,23033114137.1634
1377,"Ethereum","ETH","2019-05-15","$247.45","$216.82","$217.01","$247.15",13460006533.8558,26219111162.4131
1378,"Ethereum","ETH","2019-05-16","$275.39","$245.80","$246.94","$264.01",18661465872.83,28010958252.9023
1379,"Ethereum","ETH","2019-05-17","$266.98","$227.77","$263.85","$243.76",16037551694.0389,25866318004.5055
1380,"Ethereum","ETH","2019-05-18","$246.36","$233.10","$243.91","$234.60",10933142646.381,24896520187.1655
1381,"Ethereum","ETH","2019-05-19","$263.74","$233.76","$234.45","$261.29",12049250893.8424,27733299057.1267
1382,"Ethereum","ETH","2019-05-20","$261.55","$241.80","$261.27","$251.86",10834541285.0128,26736046291.7593
1383,"Ethereum","ETH","2019-05-21","$262.11","$248.20","$251.65","$255.22",11545049593.4789,27095257004.1212
1385,"Ethereum","ETH","2019-05-23","$247.62","$233.79","$244.67","$245.97",10671663487.3477,26119891327.4058
1389,"Ethereum","ETH","2019-05-27","$278.51","$265.44","$267.14","$272.86",12074664735.6173,28991071395.5429
1392,"Ethereum","ETH","2019-05-30","$287.20","$247.35","$269.55","$255.86",13604268584.3639,27194892740.7185
1393,"Ethereum","ETH","2019-05-31","$268.66","$249.11","$256.02","$268.11",11255023514.7102,28501098830.8551
1415,"Ethereum","ETH","2019-06-22","$315.19","$294.73","$295.12","$309.38",10613731254.5705,32980338717.0479
1419,"Ethereum","ETH","2019-06-26","$361.40","$315.95","$317.99","$336.75",16437084081.0924,35916727560.8771
1420,"Ethereum","ETH","2019-06-27","$343.43","$278.57","$336.96","$294.27",14038092502.5524,31389390614.5995
1421,"Ethereum","ETH","2019-06-28","$313.03","$292.94","$294.14","$311.23",11514656819.5501,33202586959.5675
1422,"Ethereum","ETH","2019-06-29","$322.04","$294.75","$311.28","$320.06",10929374564.9779,34149263831.9266
1425,"Ethereum","ETH","2019-07-02","$295.66","$272.60","$293.54","$291.60",10618413951.7972,31124332020.838
1433,"Ethereum","ETH","2019-07-10","$313.07","$285.57","$308.85","$290.00",11679985166.5208,30985827113.2954
1504,"Ethereum","ETH","2019-09-19","$222.87","$204.69","$211.25","$221.28",10620070912.9684,23856751721.8975
1509,"Ethereum","ETH","2019-09-24","$203.50","$162.73","$201.84","$168.11",11757739233.1186,18135747380.4531
1541,"Ethereum","ETH","2019-10-26","$195.94","$176.13","$181.67","$179.84",13831784985.9556,19477741704.7434
1542,"Ethereum","ETH","2019-10-27","$188.16","$177.68","$179.93","$184.24",10815941952.4884,19957408084.5054
1544,"Ethereum","ETH","2019-10-29","$191.85","$182.36","$182.67","$190.34",10622761957.6111,20623205053.7217
1568,"Ethereum","ETH","2019-11-22","$163.03","$142.34","$161.51","$150.27",12020749863.3102,16327536037.9124
1571,"Ethereum","ETH","2019-11-25","$150.21","$133.80","$142.70","$146.48",10962753356.2225,15921080564.3907
1594,"Ethereum","ETH","2019-12-18","$133.39","$119.78","$122.66","$133.09",11864518320.5441,14501554619.9584
1621,"Ethereum","ETH","2020-01-14","$167.68","$144.06","$144.25","$165.96",16712318373.0187,18135588270.9266
1622,"Ethereum","ETH","2020-01-15","$170.43","$161.11","$165.73","$166.23",15173694057.1567,18167930410.6557
1623,"Ethereum","ETH","2020-01-16","$167.06","$159.71","$166.33","$164.39",13735193017.9104,17969103320.7762
1624,"Ethereum","ETH","2020-01-17","$173.07","$162.78","$164.49","$170.78",14997091825.8827,18669811575.9153
1625,"Ethereum","ETH","2020-01-18","$178.53","$166.79","$170.75","$175.37",14929342255.5251,19173512822.9137
1626,"Ethereum","ETH","2020-01-19","$177.25","$163.68","$175.47","$166.97",13713374132.1754,18257853531.6232
1627,"Ethereum","ETH","2020-01-20","$169.11","$162.33","$166.90","$167.12",11144529787.0924,18276600991.9192
1631,"Ethereum","ETH","2020-01-24","$164.31","$156.75","$162.90","$163.05",10657671161.8162,17840465424.1492
1634,"Ethereum","ETH","2020-01-27","$172.92","$166.90","$168.01","$170.93",11004476145.2172,18709615890.943
1635,"Ethereum","ETH","2020-01-28","$176.37","$170.74","$170.88","$176.37",11772875063.6629,19307396128.3943
1636,"Ethereum","ETH","2020-01-29","$178.84","$175.05","$176.35","$175.05",10725267310.6002,19165292202.1875
1637,"Ethereum","ETH","2020-01-30","$186.26","$172.37","$174.92","$184.69",12604789338.0387,20223232963.5657
1638,"Ethereum","ETH","2020-01-31","$185.41","$176.30","$184.74","$180.16",11728616393.8933,19729633077.607
1639,"Ethereum","ETH","2020-02-01","$183.85","$179.75","$180.11","$183.67",11569697182.4858,20116913727.9509
1640,"Ethereum","ETH","2020-02-02","$193.08","$180.17","$183.53","$188.62",14054425388.9062,20660936266.9287
1641,"Ethereum","ETH","2020-02-03","$193.44","$188.01","$188.61","$189.87",12392875241.4011,20800183238.206
1642,"Ethereum","ETH","2020-02-04","$191.11","$185.40","$189.86","$189.25",11714191695.0612,20735478719.6275
1643,"Ethereum","ETH","2020-02-05","$206.80","$188.75","$189.30","$204.23",14865434434.9265,22379510312.3186
1644,"Ethereum","ETH","2020-02-06","$214.60","$201.90","$204.13","$212.34",16425589682.5221,23270983771.9064
1645,"Ethereum","ETH","2020-02-07","$223.14","$212.30","$212.32","$222.73",16673443564.2959,24412375481.5021
1646,"Ethereum","ETH","2020-02-08","$226.59","$215.39","$222.51","$223.15",16741203125.0677,24461492838.843
1647,"Ethereum","ETH","2020-02-09","$229.86","$222.98","$222.98","$228.58",15031356241.4966,25060056858.7598
1648,"Ethereum","ETH","2020-02-10","$229.18","$218.08","$228.55","$223.52",16210008511.4996,24508831902.9171
1649,"Ethereum","ETH","2020-02-11","$236.55","$218.62","$223.38","$235.85",16964695963.4936,25863852652.7983
1650,"Ethereum","ETH","2020-02-12","$272.40","$235.90","$235.90","$265.41",24545049385.8684,29108513969.2886
1651,"Ethereum","ETH","2020-02-13","$273.74","$258.92","$265.05","$268.10",25801317504.3066,29407537084.1234
1652,"Ethereum","ETH","2020-02-14","$285.06","$262.76","$268.02","$284.22",23558253462.7508,31179427622.664
1653,"Ethereum","ETH","2020-02-15","$287.12","$264.28","$284.56","$264.73",23682452994.3183,29045044403.4449
1654,"Ethereum","ETH","2020-02-16","$272.88","$242.48","$264.90","$259.89",25152366643.3689,28518254585.3635
1655,"Ethereum","ETH","2020-02-17","$266.87","$244.34","$259.89","$266.36",26024080088.8484,29231690264.404
1656,"Ethereum","ETH","2020-02-18","$283.20","$261.46","$266.51","$281.94",26511477187.1359,30945457816.3784
1657,"Ethereum","ETH","2020-02-19","$283.54","$259.76","$282.04","$259.76",22679414412.7183,28514562065.0578
1658,"Ethereum","ETH","2020-02-20","$263.70","$250.95","$259.82","$257.95",23229828870.1201,28318879771.1218
1659,"Ethereum","ETH","2020-02-21","$267.00","$255.69","$257.89","$265.60",20867593292.2429,29162464509.1563
1660,"Ethereum","ETH","2020-02-22","$266.39","$258.91","$265.55","$262.33",16906032861.6085,28807130265.5221
1661,"Ethereum","ETH","2020-02-23","$273.75","$261.96","$262.28","$273.75",19585998813.8732,30065188433.327
1662,"Ethereum","ETH","2020-02-24","$275.54","$259.63","$273.71","$265.22",22400845640.3032,29131114036.5722
1663,"Ethereum","ETH","2020-02-25","$265.43","$246.86","$265.28","$247.82",21878882134.0529,27223398194.7017
1664,"Ethereum","ETH","2020-02-26","$249.65","$221.27","$247.74","$225.68",26235617201.076,24794645345.3129
1665,"Ethereum","ETH","2020-02-27","$237.23","$212.66","$225.69","$226.75",25645522789.772,24915636230.767
1666,"Ethereum","ETH","2020-02-28","$234.21","$216.35","$226.99","$226.76",22563530559.1046,24919509264.9173
1667,"Ethereum","ETH","2020-02-29","$232.26","$219.85","$226.83","$219.85",18181296376.3477,24162913195.453
1668,"Ethereum","ETH","2020-03-01","$226.68","$214.13","$219.75","$218.97",18179807469.1001,24069393931.8345
1669,"Ethereum","ETH","2020-03-02","$232.81","$217.28","$218.71","$230.57",20305587789.0636,25347534007.3968
1670,"Ethereum","ETH","2020-03-03","$232.33","$221.73","$230.52","$224.48",19853178572.3478,24681090482.5459
1671,"Ethereum","ETH","2020-03-04","$228.04","$222.09","$224.57","$224.52",16567075208.0566,24688386921.3985
1672,"Ethereum","ETH","2020-03-05","$234.36","$224.64","$224.64","$229.27",18201291785.2961,25213804821.1574
1673,"Ethereum","ETH","2020-03-06","$243.55","$228.74","$229.17","$243.53",19374772256.2312,26785082138.7094
1674,"Ethereum","ETH","2020-03-07","$249.98","$237.55","$243.75","$237.85",19431652027.37,26164459703.9251
1675,"Ethereum","ETH","2020-03-08","$237.78","$200.60","$237.78","$200.69",21381823651.3696,22079071206.5242
1676,"Ethereum","ETH","2020-03-09","$207.45","$192.27","$201.32","$201.99",23645428606.1061,22224520905.918
1677,"Ethereum","ETH","2020-03-10","$205.71","$198.06","$202.86","$200.77",18344930072.1938,22093126953.1259
1678,"Ethereum","ETH","2020-03-11","$202.95","$184.36","$200.77","$194.87",16984790291.2585,21446678546.1607
1679,"Ethereum","ETH","2020-03-12","$195.15","$111.21","$194.74","$112.35",22134741654.7299,12366138225.0849
1680,"Ethereum","ETH","2020-03-13","$137.43","$95.18","$112.69","$133.20",27864623060.6624,14663417618.4701
1681,"Ethereum","ETH","2020-03-14","$134.48","$122.41","$133.58","$123.31",12740784545.4522,13575727274.8179
1682,"Ethereum","ETH","2020-03-15","$132.24","$121.85","$123.25","$125.21",12719251812.5511,13787534423.1597
1683,"Ethereum","ETH","2020-03-16","$125.00","$105.17","$125.00","$110.61",15984904589.6297,12180483052.6055
1684,"Ethereum","ETH","2020-03-17","$118.99","$110.41","$110.41","$113.94",12087490572.2852,12549513954.4941
1685,"Ethereum","ETH","2020-03-18","$116.02","$111.74","$113.86","$114.84",11617854008.6765,12650160817.9084
1686,"Ethereum","ETH","2020-03-19","$140.53","$114.73","$114.84","$136.59",16396753275.29,15048018840.04
1687,"Ethereum","ETH","2020-03-20","$150.85","$122.61","$136.65","$132.74",18960388062.1676,14624949756.7366
1688,"Ethereum","ETH","2020-03-21","$135.97","$127.16","$133.10","$132.82",13684083307.7535,14635764102.3456
1689,"Ethereum","ETH","2020-03-22","$136.15","$122.91","$132.85","$123.32",12497707223.5765,13590860527.4882
1690,"Ethereum","ETH","2020-03-23","$134.91","$121.87","$123.37","$134.91",14149877968.1487,14870079034.5566
1691,"Ethereum","ETH","2020-03-24","$141.95","$133.17","$135.19","$138.76",14609068673.4853,15296295171.1995
1692,"Ethereum","ETH","2020-03-25","$141.40","$134.30","$138.91","$136.20",13433092919.8647,15015344149.514
1693,"Ethereum","ETH","2020-03-26","$138.83","$134.89","$136.19","$138.36",11367261176.0051,15255985585.5517
1694,"Ethereum","ETH","2020-03-27","$139.90","$133.94","$138.37","$133.94",11396286629.2955,14770071749.7382
1695,"Ethereum","ETH","2020-03-28","$134.03","$126.96","$134.03","$130.99",12162403960.3873,14446379742.8904
1697,"Ethereum","ETH","2020-03-30","$133.91","$125.29","$125.58","$132.90",11841123306.4222,14661550830.5499
1698,"Ethereum","ETH","2020-03-31","$134.27","$131.65","$132.82","$133.59",11065246316.9778,14739376437.832
1699,"Ethereum","ETH","2020-04-01","$135.63","$129.73","$133.61","$135.63",12456564434.6682,14966424710.3319
1700,"Ethereum","ETH","2020-04-02","$146.79","$135.73","$135.73","$142.03",15322861686.0569,15673960168.7607
1701,"Ethereum","ETH","2020-04-03","$146.90","$139.62","$142.11","$142.09",13184603401.9239,15682757537.5282
1702,"Ethereum","ETH","2020-04-04","$145.38","$140.12","$142.22","$145.22",11946658256.7012,16029973618.0818
1703,"Ethereum","ETH","2020-04-05","$146.13","$142.10","$145.26","$143.55",11280993590.8495,15847283514.1155
1704,"Ethereum","ETH","2020-04-06","$169.27","$143.54","$143.61","$169.14",21636382525.0974,18674571701.0477
1705,"Ethereum","ETH","2020-04-07","$175.20","$164.20","$169.15","$165.10",21659346091.3178,18231455421.9281
1706,"Ethereum","ETH","2020-04-08","$173.21","$164.49","$165.24","$172.64",17063110836.1549,19066388907.9858
1707,"Ethereum","ETH","2020-04-09","$172.90","$167.99","$172.76","$170.81",14901696210.1146,18866106818.4971
1708,"Ethereum","ETH","2020-04-10","$170.95","$154.91","$170.83","$158.41",17980944615.7097,17499250378.1532
1709,"Ethereum","ETH","2020-04-11","$161.17","$155.30","$158.54","$158.22",13555089447.1146,17479687023.2083
1710,"Ethereum","ETH","2020-04-12","$164.52","$156.32","$158.23","$161.14",15123721385.9445,17805206567.5855
1711,"Ethereum","ETH","2020-04-13","$160.75","$151.61","$160.72","$156.28",16465282132.7883,17270031992.1863
1712,"Ethereum","ETH","2020-04-14","$160.94","$155.87","$156.36","$157.60",14723156630.0595,17417697023.8275
1713,"Ethereum","ETH","2020-04-15","$160.71","$152.80","$157.57","$153.29",14171753736.5254,16943501885.9061
1714,"Ethereum","ETH","2020-04-16","$173.16","$150.36","$153.20","$172.16",22910469235.6043,19031693317.2915
1715,"Ethereum","ETH","2020-04-17","$174.28","$169.75","$172.28","$171.64",16714684265.8828,18976660194.137
1716,"Ethereum","ETH","2020-04-18","$187.94","$171.62","$171.62","$186.91",20160323442.9954,20668075856.6276
1717,"Ethereum","ETH","2020-04-19","$188.10","$180.12","$186.86","$181.61",19146038381.4492,20084614446.186
1718,"Ethereum","ETH","2020-04-20","$186.08","$170.32","$181.48","$172.30",21266681335.1588,19056520718.2587
1719,"Ethereum","ETH","2020-04-21","$175.18","$170.55","$172.02","$172.74",16458767984.0892,19107591181.7675
1720,"Ethereum","ETH","2020-04-22","$183.75","$171.83","$172.67","$182.60",17994666394.6491,20200984352.2299
1721,"Ethereum","ETH","2020-04-23","$189.09","$180.34","$182.62","$185.03",21275740032.2271,20472236139.292
1722,"Ethereum","ETH","2020-04-24","$190.21","$185.22","$185.22","$189.24",16788555028.0547,20940434736.6902
1723,"Ethereum","ETH","2020-04-25","$196.79","$188.46","$189.21","$195.52",18260969748.1499,21637838416.5429
1724,"Ethereum","ETH","2020-04-26","$199.34","$194.77","$195.41","$197.32",18335367011.6376,21839976556.7041
1725,"Ethereum","ETH","2020-04-27","$199.55","$193.45","$197.48","$197.22",18670194594.8337,21832392036.1099
1726,"Ethereum","ETH","2020-04-28","$198.79","$194.85","$197.27","$198.42",18217507467.0215,21966890356.533
1727,"Ethereum","ETH","2020-04-29","$218.45","$198.12","$198.47","$216.97",26397548759.2642,24023887081.339
1728,"Ethereum","ETH","2020-04-30","$227.53","$206.44","$216.91","$207.60",28089191903.9978,22989647064.8035
1729,"Ethereum","ETH","2020-05-01","$217.63","$207.78","$207.90","$214.22",20816320833.5286,23725367639.1752
1730,"Ethereum","ETH","2020-05-02","$215.85","$212.88","$214.23","$215.33",18260876092.1731,23850828458.5514
1731,"Ethereum","ETH","2020-05-03","$219.27","$208.69","$215.35","$210.93",20469034664.1327,23367177866.6255
1732,"Ethereum","ETH","2020-05-04","$211.83","$199.05","$210.89","$208.17",22602446421.767,23064379025.3469
1733,"Ethereum","ETH","2020-05-05","$211.78","$204.03","$208.01","$206.77",19004689099.1832,22912129590.4613
1734,"Ethereum","ETH","2020-05-06","$211.53","$204.04","$206.48","$204.06",20343543799.0392,22613632877.0933
1735,"Ethereum","ETH","2020-05-07","$214.39","$202.07","$203.91","$212.29",23594744655.394,23528981906.0044
1736,"Ethereum","ETH","2020-05-08","$216.33","$208.83","$212.20","$212.99",20445139356.3264,23609735113.4268
1737,"Ethereum","ETH","2020-05-09","$214.74","$209.07","$213.14","$211.60",18950547549.2131,23458353557.9526
1738,"Ethereum","ETH","2020-05-10","$211.55","$182.71","$211.55","$188.60",25211575192.6674,20911059577.7407
1739,"Ethereum","ETH","2020-05-11","$191.36","$180.72","$188.63","$185.91",20054601646.7873,20615704448.6711
1740,"Ethereum","ETH","2020-05-12","$191.60","$185.70","$185.88","$189.31",15899726283.7581,20995260628.8043
1741,"Ethereum","ETH","2020-05-13","$200.20","$189.13","$189.37","$199.19",17054662288.5919,22093789228.1416
1742,"Ethereum","ETH","2020-05-14","$204.12","$196.87","$198.89","$202.95",20150524860.6463,22513148758.7409
1743,"Ethereum","ETH","2020-05-15","$203.57","$193.76","$202.96","$195.62",16602342092.1298,21703086884.9707
1744,"Ethereum","ETH","2020-05-16","$202.77","$194.50","$195.61","$200.68",15379081644.7062,22266558227.0629
1745,"Ethereum","ETH","2020-05-17","$209.16","$200.10","$200.61","$207.16",15470397302.6915,22988575488.4967
1746,"Ethereum","ETH","2020-05-18","$215.91","$207.11","$207.18","$214.53",17411566927.5013,23808928396.2325
1747,"Ethereum","ETH","2020-05-19","$214.60","$210.14","$214.60","$213.45",14346192778.7086,23692625223.663
1748,"Ethereum","ETH","2020-05-20","$214.72","$207.98","$213.45","$210.10",12730175510.5633,23323160696.2645
1749,"Ethereum","ETH","2020-05-21","$211.63","$193.35","$210.13","$199.88",13308321228.8459,22192109649.8768
1750,"Ethereum","ETH","2020-05-22","$208.59","$198.04","$199.84","$207.17",12041592113.5988,23003786384.6735
1751,"Ethereum","ETH","2020-05-23","$210.39","$205.29","$207.19","$208.69",10665476767.6428,23176030658.6082
1752,"Ethereum","ETH","2020-05-24","$210.60","$202.37","$208.72","$202.37",11833299571.9749,22476471749.8903
1755,"Ethereum","ETH","2020-05-27","$208.86","$201.79","$201.89","$208.86",10631034756.4509,23206144127.4458
1756,"Ethereum","ETH","2020-05-28","$220.28","$206.24","$208.89","$219.84",12212469603.9905,24428738046.939
1757,"Ethereum","ETH","2020-05-29","$224.22","$218.24","$219.93","$220.68",12265816557.4289,24524484269.4994
1758,"Ethereum","ETH","2020-05-30","$243.94","$218.74","$220.72","$242.35",15027397866.509,26936114603.8668
1759,"Ethereum","ETH","2020-05-31","$244.05","$230.05","$242.35","$230.98",12234904813.3392,25675542328.5429
1760,"Ethereum","ETH","2020-06-01","$248.24","$230.49","$230.86","$246.99",13951727936.4523,27459257209.3334
1761,"Ethereum","ETH","2020-06-02","$252.22","$233.23","$246.83","$237.22",13782107566.7125,26376031889.8962
1770,"Ethereum","ETH","2020-06-11","$249.89","$229.94","$247.55","$231.70",12356528860.4776,25791024830.9758
1814,"Ethereum","ETH","2020-07-25","$306.74","$279.03","$279.03","$304.06",10785021812.5683,34027002730.2282
1815,"Ethereum","ETH","2020-07-26","$316.39","$300.27","$303.69","$309.64",12003973025.6976,34656472192.7933
1816,"Ethereum","ETH","2020-07-27","$330.70","$309.66","$309.66","$321.51",15644257058.4918,35989428748.8012
1817,"Ethereum","ETH","2020-07-28","$325.91","$307.72","$321.83","$316.66",12357108064.5674,35450097600.2147
1818,"Ethereum","ETH","2020-07-29","$324.38","$313.11","$316.56","$318.19",10878845706.0157,35626126751.0425
1819,"Ethereum","ETH","2020-07-30","$338.63","$315.75","$318.14","$334.59",11827689045.337,37466380887.3341
1820,"Ethereum","ETH","2020-07-31","$348.61","$329.34","$334.63","$345.55",12030600491.5271,38699278448.6592
1821,"Ethereum","ETH","2020-08-01","$388.85","$343.59","$345.80","$385.20",14045259476.5426,43144477508.4031
1822,"Ethereum","ETH","2020-08-02","$411.23","$357.14","$385.55","$370.67",18909744275.0564,41522323563.2534
1823,"Ethereum","ETH","2020-08-03","$396.51","$369.34","$371.13","$386.30",12834648062.1108,43277729882.103
1824,"Ethereum","ETH","2020-08-04","$400.70","$382.99","$386.16","$389.88",14086704220.9606,43684129571.5135
1825,"Ethereum","ETH","2020-08-05","$406.30","$386.22","$389.71","$401.59",12875466638.4325,45002213068.816
1826,"Ethereum","ETH","2020-08-06","$403.49","$392.60","$401.58","$394.96",11304626458.1089,44264836294.3033
1827,"Ethereum","ETH","2020-08-07","$398.25","$367.94","$395.23","$379.51",12751687083.9109,42538578850.21
1830,"Ethereum","ETH","2020-08-10","$399.38","$391.04","$391.04","$395.89",11685827893.4464,44390142137.3961
1831,"Ethereum","ETH","2020-08-11","$398.48","$370.86","$395.89","$380.38",12792218736.9704,42656945169.3968
1832,"Ethereum","ETH","2020-08-12","$391.31","$367.92","$380.06","$391.02",12408772745.1829,43855501071.6031
1833,"Ethereum","ETH","2020-08-13","$432.90","$379.71","$390.84","$428.74",18480303525.5272,48091569051.6055
1834,"Ethereum","ETH","2020-08-14","$444.58","$423.35","$428.68","$437.40",15064589987.0928,49068474083.0404
1835,"Ethereum","ETH","2020-08-15","$441.75","$429.87","$437.56","$433.35",12416067894.221,48620820124.5334
1836,"Ethereum","ETH","2020-08-16","$436.27","$415.09","$433.35","$433.79",12168816874.4955,48675162266.8596
1837,"Ethereum","ETH","2020-08-17","$442.73","$422.65","$433.97","$429.53",13227089409.9208,48203426750.7282
1838,"Ethereum","ETH","2020-08-18","$432.58","$419.67","$429.67","$423.67",11978984078.5704,47551407033.0556
1839,"Ethereum","ETH","2020-08-19","$427.02","$396.68","$423.74","$406.46",13137391166.8496,45625864918.4277
1841,"Ethereum","ETH","2020-08-21","$418.64","$387.44","$416.15","$389.13",11781796374.0018,43690315907.4493
1845,"Ethereum","ETH","2020-08-25","$408.53","$374.36","$408.07","$384.00",12428442042.1937,43135697974.0757
1850,"Ethereum","ETH","2020-08-30","$428.66","$399.61","$399.62","$428.40",11211948040.289,48151884394.293
1851,"Ethereum","ETH","2020-08-31","$438.56","$419.77","$428.51","$435.08",12774741797.1348,48909170051.9544
1852,"Ethereum","ETH","2020-09-01","$487.21","$432.08","$434.87","$477.05",18862763755.9624,53633933560.1349
1853,"Ethereum","ETH","2020-09-02","$480.33","$424.46","$477.01","$440.04",19691854013.5079,49478789434.873
1854,"Ethereum","ETH","2020-09-03","$449.53","$381.13","$440.24","$385.67",19622845896.3384,43370721325.6821
1855,"Ethereum","ETH","2020-09-04","$402.41","$371.64","$384.67","$388.24",16747106257.3669,43665020996.3354
1856,"Ethereum","ETH","2020-09-05","$394.17","$316.77","$388.04","$335.26",29880047640.4876,37710860057.8221
1857,"Ethereum","ETH","2020-09-06","$359.76","$319.04","$335.33","$353.36",27643678916.8941,39751917522.7842
1858,"Ethereum","ETH","2020-09-07","$358.21","$326.25","$353.45","$352.67",21763614731.5767,39679199319.9028
1859,"Ethereum","ETH","2020-09-08","$355.56","$328.82","$353.20","$337.60",17991403431.6075,37988119626.6691
1860,"Ethereum","ETH","2020-09-09","$359.16","$332.16","$337.82","$351.11",14547933520.4245,39512826169.5128
1861,"Ethereum","ETH","2020-09-10","$377.39","$351.11","$351.43","$368.10",31421134556.3382,41430053162.3925
1862,"Ethereum","ETH","2020-09-11","$376.63","$355.58","$368.12","$374.70",27296269328.6057,42177302259.4925
1863,"Ethereum","ETH","2020-09-12","$387.54","$367.84","$374.60","$387.18",13295405814.3959,43588199421.8177
1864,"Ethereum","ETH","2020-09-13","$388.96","$354.34","$387.52","$365.57",15005899191.1031,41160025962.3255
1865,"Ethereum","ETH","2020-09-14","$384.49","$357.57","$365.70","$377.27",17536695360.6158,42482307939.3069
1866,"Ethereum","ETH","2020-09-15","$381.51","$363.61","$377.15","$364.84",16140584321.1878,41087642852.7861
1867,"Ethereum","ETH","2020-09-16","$372.77","$356.68","$364.74","$365.81",16107612177.0569,41202147932.0841
1868,"Ethereum","ETH","2020-09-17","$393.90","$364.80","$365.87","$389.02",19899531080.4999,43821351213.4089
1869,"Ethereum","ETH","2020-09-18","$391.90","$376.96","$389.34","$384.36",14108357740.4861,43302193327.1808
