"sno","name","symbol","date","high","low","open","close","volume","marketcap"
2165,"Litecoin","LTC","2019-04-02","$77.41","$60.54","$60.70","$76.19",4161362861.41264,4660552087.71317
2166,"Litecoin","LTC","2019-04-03","$97.50","$76.01","$76.26","$84.92",6206102118.69064,5195750178.10245
2167,"Litecoin","LTC","2019-04-04","$89.34","$81.57","$85.17","$84.98",4195622761.03396,5200609304.87696
2168,"Litecoin","LTC","2019-04-05","$89.58","$84.92","$85.04","$88.68",3512861847.24127,5428143570.74244
2169,"Litecoin","LTC","2019-04-06","$96.74","$86.31","$88.71","$92.57",3857950928.59527,5667977475.93086
2170,"Litecoin","LTC","2019-04-07","$95.39","$90.09","$92.42","$92.31",3314848880.20761,5653406711.33037
2171,"Litecoin","LTC","2019-04-08","$93.82","$87.06","$92.33","$89.49",3295695861.98141,5482058436.94245
2174,"Litecoin","LTC","2019-04-11","$88.52","$76.66","$88.39","$79.68",3461535999.62119,4884140000.13637
2187,"Litecoin","LTC","2019-04-24","$75.24","$71.36","$74.75","$73.31",3347048436.05449,4507411995.932
2196,"Litecoin","LTC","2019-05-03","$80.42","$73.44","$73.76","$79.33",3850339791.87758,4887671308.36029
2197,"Litecoin","LTC","2019-05-04","$82.02","$75.80","$79.31","$78.06",3502670654.94666,4810952019.45219
2204,"Litecoin","LTC","2019-05-11","$94.54","$77.11","$77.16","$89.22",5491744172.81669,5507753608.50018
2205,"Litecoin","LTC","2019-05-12","$93.18","$83.82","$89.54","$84.57",5582599422.01167,5221525879.06739
2206,"Litecoin","LTC","2019-05-13","$92.37","$84.30","$84.63","$88.06",4658762983.66769,5438466607.83614
2207,"Litecoin","LTC","2019-05-14","$93.37","$87.66","$88.05","$91.62",4930071295.67063,5659766830.46779
2208,"Litecoin","LTC","2019-05-15","$103.14","$90.82","$91.66","$101.74",5168624435.91396,6286790204.70114
2209,"Litecoin","LTC","2019-05-16","$106.21","$92.57","$101.57","$95.59",6442000275.56727,5907639438.74697
2210,"Litecoin","LTC","2019-05-17","$97.26","$84.94","$95.63","$89.00",5319840521.08299,5501612937.92351
2211,"Litecoin","LTC","2019-05-18","$89.87","$85.80","$89.01","$86.70",3317998477.50726,5360906927.31862
2212,"Litecoin","LTC","2019-05-19","$96.54","$86.13","$86.68","$95.32",4108852208.45884,5895349548.68578
2213,"Litecoin","LTC","2019-05-20","$95.34","$88.57","$95.34","$91.49",3566921482.87564,5659972915.12678
2215,"Litecoin","LTC","2019-05-22","$92.00","$87.55","$91.51","$88.21",3398528443.10461,5459427424.33731
2217,"Litecoin","LTC","2019-05-24","$102.75","$88.32","$88.97","$99.90",5393657681.96863,6185976031.07578
2218,"Litecoin","LTC","2019-05-25","$104.11","$98.72","$100.05","$102.67",4507357464.92976,6358963965.05293
2219,"Litecoin","LTC","2019-05-26","$112.67","$99.74","$102.70","$111.42",5168378348.59575,6902346395.20695
2220,"Litecoin","LTC","2019-05-27","$120.69","$111.13","$111.44","$118.03",6355361291.2383,7313766497.89417
2221,"Litecoin","LTC","2019-05-28","$117.89","$112.99","$117.89","$114.93",4171886802.27413,7123212215.21773
2222,"Litecoin","LTC","2019-05-29","$117.87","$110.47","$114.93","$115.08",4122926835.91589,7134213755.22187
2223,"Litecoin","LTC","2019-05-30","$119.74","$105.30","$115.14","$108.80",4971290021.77448,6746180187.02347
2224,"Litecoin","LTC","2019-05-31","$114.63","$105.91","$108.70","$114.54",4207966340.98949,7103874447.65817
2225,"Litecoin","LTC","2019-06-01","$115.61","$111.68","$114.47","$112.62",3807158511.10549,6986544718.34916
2226,"Litecoin","LTC","2019-06-02","$116.25","$111.91","$112.71","$114.70",3434073036.50241,7117549253.45308
2227,"Litecoin","LTC","2019-06-03","$115.91","$106.46","$114.67","$107.47",3832352495.94199,6670082969.54888
2228,"Litecoin","LTC","2019-06-04","$107.37","$99.29","$107.37","$102.09",4316694182.65041,6337614782.6016
2229,"Litecoin","LTC","2019-06-05","$104.84","$101.22","$102.12","$103.85",3585162871.53059,6448454321.62205
2230,"Litecoin","LTC","2019-06-06","$111.33","$102.09","$103.81","$111.11",4142250661.75984,6900772771.87922
2231,"Litecoin","LTC","2019-06-07","$120.64","$109.59","$110.98","$117.37",5140908476.51775,7291832560.83081
2232,"Litecoin","LTC","2019-06-08","$119.50","$114.46","$117.28","$118.55",4689557936.47199,7366835517.33366
2233,"Litecoin","LTC","2019-06-09","$119.13","$112.57","$118.59","$115.13",4360301111.3921,7156126159.80744
2234,"Litecoin","LTC","2019-06-10","$129.71","$113.17","$115.00","$129.07",5449266883.89732,8024339041.41346
2235,"Litecoin","LTC","2019-06-11","$138.15","$125.96","$129.26","$136.03",5441787587.33504,8458730744.53945
2236,"Litecoin","LTC","2019-06-12","$142.71","$132.24","$136.09","$135.65",5855623530.11169,8437276929.96619
2237,"Litecoin","LTC","2019-06-13","$136.89","$129.14","$135.68","$131.35",4947794845.21688,8171623427.09053
2238,"Litecoin","LTC","2019-06-14","$133.18","$126.86","$131.31","$133.05",4352005824.20009,8279439668.96264
2239,"Litecoin","LTC","2019-06-15","$139.19","$133.14","$133.18","$138.13",4329002012.52911,8597209350.69653
2240,"Litecoin","LTC","2019-06-16","$138.79","$134.54","$138.15","$137.12",4372645800.59513,8536706966.91652
2242,"Litecoin","LTC","2019-06-18","$135.92","$129.75","$134.47","$135.16",3720828768.62163,8418405569.54257
2243,"Litecoin","LTC","2019-06-19","$139.34","$134.03","$135.15","$136.60",4383960510.04954,8510498678.41247
2244,"Litecoin","LTC","2019-06-20","$137.08","$132.64","$136.60","$135.48",3880682308.14237,8442646196.59256
2245,"Litecoin","LTC","2019-06-21","$141.07","$135.51","$135.51","$138.88",4378260962.93236,8656823082.61577
2246,"Litecoin","LTC","2019-06-22","$146.43","$138.48","$139.04","$141.90",5488615001.82368,8847068563.78605
2247,"Litecoin","LTC","2019-06-23","$142.56","$136.32","$141.95","$136.88",3998980168.47685,8536077179.26101
2248,"Litecoin","LTC","2019-06-24","$138.69","$132.83","$136.92","$135.53",3907725104.56597,8454028779.55437
2249,"Litecoin","LTC","2019-06-25","$138.12","$130.89","$135.58","$136.49",4411092399.71423,8515726713.41868
2250,"Litecoin","LTC","2019-06-26","$138.32","$128.94","$136.48","$131.27",5565887284.84387,8191677322.78247
2251,"Litecoin","LTC","2019-06-27","$132.04","$110.67","$131.22","$114.40",5588611122.23092,7141234400.19192
2252,"Litecoin","LTC","2019-06-28","$122.02","$113.47","$114.41","$120.15",4683311766.21581,7501601230.37516
2253,"Litecoin","LTC","2019-06-29","$135.74","$116.22","$120.16","$133.66",5745785825.26624,8347117542.2179
2254,"Litecoin","LTC","2019-06-30","$136.26","$120.44","$133.72","$122.25",5525273220.32067,7636046758.42335
2255,"Litecoin","LTC","2019-07-01","$126.02","$114.22","$122.11","$122.58",5034162435.6346,7658690466.45716
