SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1243,Ethereum,ETH,2019-01-01 23:59:59,141.397504378,132.650705543,133.418144908,140.819413158,2258709868.3227,14665318369.5793
1244,Ethereum,ETH,2019-01-02 23:59:59,156.929130846,140.650960077,141.519516951,155.047677215,3328240369.42324,16150049902.4194
1245,Ethereum,ETH,2019-01-03 23:59:59,155.863057698,147.198367015,155.196037793,149.135003379,2676164880.23743,15536849936.05
1246,Ethereum,ETH,2019-01-04 23:59:59,156.878975599,147.907099008,148.912894276,154.58194227,3126192535.10327,16107068093.0135
1247,Ethereum,ETH,2019-01-05 23:59:59,160.824889089,154.337419842,154.337419842,155.638589483,3338211928.03853,16219974744.6123
1248,Ethereum,ETH,2019-01-06 23:59:59,159.371446832,152.085923804,155.804227981,157.746199308,3231294371.15792,16442429109.107
1249,Ethereum,ETH,2019-01-07 23:59:59,158.450431168,151.150719776,157.80948734,151.699213451,2712108387.90836,15814868678.4056
1250,Ethereum,ETH,2019-01-08 23:59:59,153.625779826,148.669535562,151.967542981,150.359633438,2459808140.32382,15677889901.9284
1251,Ethereum,ETH,2019-01-09 23:59:59,153.622254454,150.288382338,150.5546946,150.80311047,2369241196.88913,15726845711.4899
1252,Ethereum,ETH,2019-01-10 23:59:59,152.148274936,126.52937645,150.843510345,128.625185944,3397734455.64172,13416263931.3845
1253,Ethereum,ETH,2019-01-11 23:59:59,130.165937404,125.244939678,127.813962146,127.548324868,2667585233.50578,13306214133.6505
1254,Ethereum,ETH,2019-01-12 23:59:59,128.666126333,125.446757343,127.528082611,125.9665328,2212109224.40877,13143426379.4793
1255,Ethereum,ETH,2019-01-13 23:59:59,126.26787861,116.085966478,125.90722966,116.89780148,2268263943.76033,12199288487.1023
1256,Ethereum,ETH,2019-01-14 23:59:59,130.856742484,116.967561828,116.97909648,129.068732601,2798085735.17581,13471754801.5015
1257,Ethereum,ETH,2019-01-15 23:59:59,130.743563539,120.311522717,129.172690653,122.032712316,2735449164.32744,12739543688.3081
1258,Ethereum,ETH,2019-01-16 23:59:59,127.11825062,121.441416987,121.809242251,123.547061541,2746469339.75468,12899812275.3187
1259,Ethereum,ETH,2019-01-17 23:59:59,124.270718584,120.817029063,123.573540063,123.741921671,2594091284.94974,12922347329.5559
1260,Ethereum,ETH,2019-01-18 23:59:59,123.841693294,120.241901443,123.654651715,121.010265197,2305389799.8777,12639234713.3557
1261,Ethereum,ETH,2019-01-19 23:59:59,125.904226831,121.161034294,121.614427217,124.519021209,3048261797.09061,13007954845.5818
1262,Ethereum,ETH,2019-01-20 23:59:59,125.070389929,118.702325271,124.632400648,119.474828958,2964108269.10782,12483136112.3603
1263,Ethereum,ETH,2019-01-21 23:59:59,119.715437964,116.157437029,119.636456665,117.157852232,2421720342.52025,12242940197.3863
1264,Ethereum,ETH,2019-01-22 23:59:59,119.66434234,114.676679352,117.11075621,118.747550914,2552507404.72615,12410972240.9689
1265,Ethereum,ETH,2019-01-23 23:59:59,119.422797607,116.376647106,118.713816943,117.452609248,2556952198.38136,12277481872.0362
1266,Ethereum,ETH,2019-01-24 23:59:59,118.032106999,116.006798483,117.462784971,117.362886414,2520843419.62029,12269992351.2449
1267,Ethereum,ETH,2019-01-25 23:59:59,117.802996076,115.830152569,117.594952273,116.37834358,2606881898.14419,12168932300.4047
1268,Ethereum,ETH,2019-01-26 23:59:59,118.084116514,115.980574489,116.373526343,116.488738462,2412181168.83724,12182338148.3055
1269,Ethereum,ETH,2019-01-27 23:59:59,116.685408284,113.405291898,116.510314866,113.405291898,2775888286.99882,11861671822.0094
1270,Ethereum,ETH,2019-01-28 23:59:59,113.688228674,103.336465552,113.285232063,106.589976822,3366895504.6689,11150461957.7976
1271,Ethereum,ETH,2019-01-29 23:59:59,107.165787867,103.999231261,106.721953365,105.598213782,2900418605.97177,11048347342.071
1272,Ethereum,ETH,2019-01-30 23:59:59,109.452982289,104.84379221,105.407204612,108.90753982,2874370354.58599,11396282341.1625
1273,Ethereum,ETH,2019-01-31 23:59:59,110.458358316,106.525353422,108.900771037,107.061013064,2828796030.76159,11204735502.2036
1274,Ethereum,ETH,2019-02-01 23:59:59,108.638706936,105.046500037,107.147683721,107.609786895,2541271518.87325,11263815609.9409
1275,Ethereum,ETH,2019-02-02 23:59:59,110.653877671,106.764019085,107.466413449,110.430261898,2385157837.71174,11560765572.9744
1276,Ethereum,ETH,2019-02-03 23:59:59,110.827352598,106.563985401,110.490318017,107.492671458,2519334756.87891,11254870706.4255
1277,Ethereum,ETH,2019-02-04 23:59:59,108.701035341,107.0674205,107.625821506,107.821603427,2491888674.79883,11290969363.787
1278,Ethereum,ETH,2019-02-05 23:59:59,108.134787627,106.909894888,107.628166134,107.443520166,2515863998.87315,11253035388.4001
1279,Ethereum,ETH,2019-02-06 23:59:59,107.56930183,102.934560657,107.56930183,104.919289868,2593048199.1017,10990266832.9059
1280,Ethereum,ETH,2019-02-07 23:59:59,106.058875046,104.4091339,104.835777289,104.535298574,2326764622.24354,10951652648.4384
1281,Ethereum,ETH,2019-02-08 23:59:59,119.805812612,104.194436464,104.64504714,119.267748863,3656841346.51827,12496945335.9863
1282,Ethereum,ETH,2019-02-09 23:59:59,120.689734028,118.000400776,119.214112324,119.430883307,2884650400.40963,12515870173.265
1283,Ethereum,ETH,2019-02-10 23:59:59,124.853626025,117.105776149,119.408964279,124.806484949,3148766590.14275,13080881910.2291
1284,Ethereum,ETH,2019-02-11 23:59:59,124.871533617,120.31174986,124.871533617,121.298395992,3222473887.40902,12714795026.099
1285,Ethereum,ETH,2019-02-12 23:59:59,123.468300517,119.600025482,121.178576446,122.572291057,3149576428.84467,12849965121.4603
1286,Ethereum,ETH,2019-02-13 23:59:59,125.550697776,121.612499271,122.544287348,122.553602552,3386585799.14299,12849605818.9081
