SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1335,Ethereum,ETH,2019-04-03 23:59:59,178.322057328,157.322144075,164.008634378,161.458801333,10622456246.115,17035703563.9328
1373,Ethereum,ETH,2019-05-11 23:59:59,203.466638811,173.139317933,173.139317933,194.304341538,12578331654.2638,20602050120.0543
1376,Ethereum,ETH,2019-05-14 23:59:59,217.874645396,196.054814088,196.738273906,217.148571659,12751049754.8683,23033114137.1634
1377,Ethereum,ETH,2019-05-15 23:59:59,247.446589145,216.822117009,217.010116931,247.153065441,13460006533.8558,26219111162.4131
1378,Ethereum,ETH,2019-05-16 23:59:59,275.394433117,245.795286216,246.941949724,264.010023118,18661465872.83,28010958252.9023
1379,Ethereum,ETH,2019-05-17 23:59:59,266.979610579,227.767419879,263.848363999,243.764593413,16037551694.0389,25866318004.5055
1380,Ethereum,ETH,2019-05-18 23:59:59,246.362770419,233.099846277,243.911300406,234.595229584,10933142646.381,24896520187.1655
1381,Ethereum,ETH,2019-05-19 23:59:59,263.740987331,233.758674382,234.449464995,261.292219263,12049250893.8424,27733299057.1267
1382,Ethereum,ETH,2019-05-20 23:59:59,261.551264718,241.80364457,261.267480176,251.864416688,10834541285.0128,26736046291.7593
1383,Ethereum,ETH,2019-05-21 23:59:59,262.107533176,248.196304872,251.647840439,255.215875873,11545049593.4789,27095257004.1212
1385,Ethereum,ETH,2019-05-23 23:59:59,247.61663148,233.793092876,244.665121533,245.965672113,10671663487.3477,26119891327.4058
1389,Ethereum,ETH,2019-05-27 23:59:59,278.50725112,265.444697967,267.141883996,272.86264362,12074664735.6173,28991071395.5429
1392,Ethereum,ETH,2019-05-30 23:59:59,287.201638845,247.348602483,269.551887205,255.858948474,13604268584.3639,27194892740.7185
1393,Ethereum,ETH,2019-05-31 23:59:59,268.659941413,249.111850141,256.015274453,268.113560321,11255023514.7102,28501098830.8551
1415,Ethereum,ETH,2019-06-22 23:59:59,315.189720232,294.728230478,295.115068002,309.380305299,10613731254.5705,32980338717.0479
1419,Ethereum,ETH,2019-06-26 23:59:59,361.398673042,315.954853748,317.992595848,336.753188391,16437084081.0924,35916727560.8771
1420,Ethereum,ETH,2019-06-27 23:59:59,343.433445495,278.573230139,336.959911227,294.267645009,14038092502.5524,31389390614.5995
1421,Ethereum,ETH,2019-06-28 23:59:59,313.031556623,292.939821505,294.143042748,311.226103335,11514656819.5501,33202586959.5675
1422,Ethereum,ETH,2019-06-29 23:59:59,322.043557024,294.75383646,311.284432218,320.058914343,10929374564.9779,34149263831.9266
1425,Ethereum,ETH,2019-07-02 23:59:59,295.655863867,272.602568914,293.537270366,291.596440849,10618413951.7972,31124332020.838
