SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
2165,Litecoin,LTC,2019-04-02 23:59:59,77.4117296696,60.5377782878,60.7047059348,76.1932596939,4161362861.41264,4660552087.71317
2166,Litecoin,LTC,2019-04-03 23:59:59,97.4952564658,76.0096458602,76.2562988737,84.9219378767,6206102118.69064,5195750178.10245
2167,Litecoin,LTC,2019-04-04 23:59:59,89.3383879173,81.5686363146,85.1739312234,84.9809052844,4195622761.03396,5200609304.87696
2168,Litecoin,LTC,2019-04-05 23:59:59,89.5820137893,84.9232822548,85.0379499848,88.6778605953,3512861847.24127,5428143570.74244
2169,Litecoin,LTC,2019-04-06 23:59:59,96.7413569687,86.3123835042,88.7077740435,92.573417164,3857950928.59527,5667977475.93086
2170,Litecoin,LTC,2019-04-07 23:59:59,95.3946721331,90.0854154084,92.4213696294,92.3123691536,3314848880.20761,5653406711.33037
2171,Litecoin,LTC,2019-04-08 23:59:59,93.8228476416,87.0640900097,92.3278951362,89.493042548,3295695861.98141,5482058436.94245
2174,Litecoin,LTC,2019-04-11 23:59:59,88.5217418757,76.6567706155,88.3935302233,79.6779906128,3461535999.62119,4884140000.13637
2187,Litecoin,LTC,2019-04-24 23:59:59,75.2356487244,71.3560673142,74.7538755662,73.3089431536,3347048436.05449,4507411995.932
2196,Litecoin,LTC,2019-05-03 23:59:59,80.4192638276,73.4426067024,73.7644482518,79.3265344093,3850339791.87758,4887671308.36029
2197,Litecoin,LTC,2019-05-04 23:59:59,82.0195841916,75.7961638912,79.3079365132,78.0638386356,3502670654.94666,4810952019.45219
2204,Litecoin,LTC,2019-05-11 23:59:59,94.5443816066,77.1092298984,77.162751379,89.2222559729,5491744172.81669,5507753608.50018
2205,Litecoin,LTC,2019-05-12 23:59:59,93.176265626,83.8230692549,89.5393019632,84.5655110516,5582599422.01167,5221525879.06739
2206,Litecoin,LTC,2019-05-13 23:59:59,92.3720070094,84.2997399523,84.6325787668,88.0582361061,4658762983.66769,5438466607.83614
2207,Litecoin,LTC,2019-05-14 23:59:59,93.3729822949,87.6583840666,88.0530440769,91.6204061122,4930071295.67063,5659766830.46779
2208,Litecoin,LTC,2019-05-15 23:59:59,103.140012263,90.8172697309,91.6615556779,101.744566017,5168624435.91396,6286790204.70114
2209,Litecoin,LTC,2019-05-16 23:59:59,106.205651074,92.5651163839,101.573141705,95.5855849808,6442000275.56727,5907639438.74697
2210,Litecoin,LTC,2019-05-17 23:59:59,97.2586636188,84.9377793997,95.6326055069,88.9952344815,5319840521.08299,5501612937.92351
2211,Litecoin,LTC,2019-05-18 23:59:59,89.8749577834,85.8005127764,89.010020614,86.7001894258,3317998477.50726,5360906927.31862
2212,Litecoin,LTC,2019-05-19 23:59:59,96.5427642195,86.1292384386,86.6753308508,95.3212014721,4108852208.45884,5895349548.68578
2213,Litecoin,LTC,2019-05-20 23:59:59,95.339368288,88.5692770416,95.339368288,91.493678397,3566921482.87564,5659972915.12678
2215,Litecoin,LTC,2019-05-22 23:59:59,92.002701316,87.5451457751,91.5051032219,88.2105722826,3398528443.10461,5459427424.33731
2217,Litecoin,LTC,2019-05-24 23:59:59,102.749931308,88.3244420716,88.9739462874,99.9030340456,5393657681.96863,6185976031.07578
2218,Litecoin,LTC,2019-05-25 23:59:59,104.105577263,98.7228773768,100.045539418,102.672318076,4507357464.92976,6358963965.05293
2219,Litecoin,LTC,2019-05-26 23:59:59,112.673221236,99.7438409452,102.700590371,111.418602843,5168378348.59575,6902346395.20695
2220,Litecoin,LTC,2019-05-27 23:59:59,120.69171238,111.127954215,111.435297724,118.032603284,6355361291.2383,7313766497.89417
2221,Litecoin,LTC,2019-05-28 23:59:59,117.891893294,112.991238759,117.891893294,114.931159931,4171886802.27413,7123212215.21773
